"","gene","cluster_id","logFC","AveExpr","t","p_val","p_adj.loc","p_adj.glb","B","contrast"
"Oligo NN.1345","Chchd3","Oligo NN",0.122137573981743,7.83147865062912,0.391617487212972,0.710063510046464,0.997834965727637,0.993965260355923,-4.6467226005662,"Fentanyl-Saline"
"Oligo NN.1346","Capza2","Oligo NN",0.0610052533497152,6.64988881578387,0.179407957981354,0.864044031998047,0.997834965727637,0.997523862754066,-4.65480083238724,"Fentanyl-Saline"
"Oligo NN.1347","Cttnbp2","Oligo NN",-0.00632843592504884,9.32504118930292,-0.0240450803847234,0.981665245352393,0.998571408549911,0.998538159086709,-4.65696317896331,"Fentanyl-Saline"
"Oligo NN.1348","Plxna4","Oligo NN",0.346152623109932,8.23760482359746,1.28689396171832,0.249647773647871,0.997834965727637,0.964720834969761,-4.56824555932174,"Fentanyl-Saline"
"Oligo NN.1349","Adam22","Oligo NN",-0.465031444196708,5.74029940475958,-1.67893883450871,0.148673225937176,0.997834965727637,0.943928290125749,-4.52621080904577,"Fentanyl-Saline"
"Oligo NN.1350","Slc35b4","Oligo NN",0.0881891581248775,4.78487048575792,0.280510330854679,0.789338266528461,0.997834965727637,0.995998410721009,-4.65166187980223,"Fentanyl-Saline"
"Oligo NN.1351","Ninj2","Oligo NN",-0.147491726735694,9.66787483893503,-0.54123108620268,0.609555289979375,0.997834965727637,0.988691017535907,-4.63781407089531,"Fentanyl-Saline"
"Oligo NN.1352","Slc6a1","Oligo NN",-0.752971875998998,5.12456440523634,-2.51266755039561,0.0493208011782285,0.997834965727637,0.930370242850555,-4.44826366423079,"Fentanyl-Saline"
"Oligo NN.1353","Bpgm","Oligo NN",-0.327649920873024,5.59154080089274,-1.05118921086835,0.33716071014835,0.997834965727637,0.976144047572773,-4.59308258261797,"Fentanyl-Saline"
"Oligo NN.1354","Ptn","Oligo NN",-0.0582437394996003,9.65066703642585,-0.214983080250239,0.837530057300528,0.997834965727637,0.99698489167618,-4.65384846214729,"Fentanyl-Saline"
"Oligo NN.1355","Ccdc77","Oligo NN",0.525946143294459,5.40758547275518,1.22672004515734,0.269850689931123,0.997834965727637,0.967278230688823,-4.57469135228645,"Fentanyl-Saline"
"Oligo NN.1356","Creb3l2","Oligo NN",0.0412756675805062,7.15534927044494,0.153731709860819,0.883306580398379,0.997937136124794,0.997577148181987,-4.65538368706565,"Fentanyl-Saline"
"Oligo NN.1357","Mtpn","Oligo NN",0.0320242731254217,5.6475846406519,0.0903338677112564,0.931221672651226,0.998571408549911,0.997637689587809,-4.65644236668238,"Fentanyl-Saline"
